country,pastheight,presentheight,absolute change,percent change
Hungary,166.31 cm in 1896,177.26 cm in 1996,+10.95 cm,+7%
Iceland,170.54 cm in 1896,180.49 cm in 1996,+9.95 cm,+6%
India,161.96 cm in 1896,164.95 cm in 1996,+2.99 cm,+2%
Indonesia,154.65 cm in 1896,163.55 cm in 1996,+8.91 cm,+6%
Iran,157.06 cm in 1896,173.57 cm in 1996,+16.51 cm,+11%
Iraq,159.26 cm in 1896,170.43 cm in 1996,+11.17 cm,+7%
Ireland,166.36 cm in 1896,178.93 cm in 1996,+12.56 cm,+8%
Israel,163.40 cm in 1896,176.86 cm in 1996,+13.46 cm,+8%
Italy,164.71 cm in 1896,177.77 cm in 1996,+13.06 cm,+8%
Jamaica,163.06 cm in 1896,174.53 cm in 1996,+11.47 cm,+7%
Japan,156.17 cm in 1896,170.82 cm in 1996,+14.65 cm,+9%
Jordan,158.89 cm in 1896,171.03 cm in 1996,+12.14 cm,+8%
Kazakhstan,161.23 cm in 1896,171.14 cm in 1996,+9.91 cm,+6%
Kenya,165.72 cm in 1896,169.64 cm in 1996,+3.92 cm,+2%
Kiribati,166.84 cm in 1896,169.20 cm in 1996,+2.36 cm,+1%
Kuwait,160.51 cm in 1896,172.07 cm in 1996,+11.56 cm,+7%
Kyrgyzstan,160.25 cm in 1896,171.24 cm in 1996,+10.99 cm,+7%
Laos,152.88 cm in 1896,160.52 cm in 1996,+7.63 cm,+5%
Latin America and Caribbean,160.18 cm in 1896,171.11 cm in 1996,+10.93 cm,+7%
Latvia,169.38 cm in 1896,181.42 cm in 1996,+12.04 cm,+7%
Lebanon,160.71 cm in 1896,174.39 cm in 1996,+13.67 cm,+9%
Lesotho,161.32 cm in 1896,165.59 cm in 1996,+4.27 cm,+3%
Liberia,158.67 cm in 1896,163.66 cm in 1996,+4.99 cm,+3%
Libya,161.26 cm in 1896,173.53 cm in 1996,+12.26 cm,+8%
Lithuania,168.93 cm in 1896,179.03 cm in 1996,+10.10 cm,+6%
Luxembourg,167.33 cm in 1896,177.86 cm in 1996,+10.53 cm,+6%
Macedonia,166.51 cm in 1896,178.33 cm in 1996,+11.82 cm,+7%
Madagascar,158.68 cm in 1896,161.55 cm in 1996,+2.87 cm,+2%
Malawi,159.21 cm in 1896,162.23 cm in 1996,+3.02 cm,+2%
Malaysia,157.57 cm in 1896,167.88 cm in 1996,+10.31 cm,+7%
Maldives,155.83 cm in 1896,167.68 cm in 1996,+11.85 cm,+8%
Mali,165.09 cm in 1896,171.12 cm in 1996,+6.03 cm,+4%
Malta,161.89 cm in 1896,173.32 cm in 1996,+11.43 cm,+7%
Marshall Islands,162.29 cm in 1896,162.81 cm in 1996,+0.52 cm,<1%
Mauritania,161.52 cm in 1896,163.28 cm in 1996,+1.76 cm,+1%
Mauritius,160.63 cm in 1896,170.50 cm in 1996,+9.87 cm,+6%
Mexico,156.75 cm in 1896,169.01 cm in 1996,+12.26 cm,+8%
Micronesia (country),164.66 cm in 1896,168.51 cm in 1996,+3.85 cm,+2%
Middle East and North Africa,159.55 cm in 1896,170.51 cm in 1996,+10.97 cm,+7%
Moldova,164.63 cm in 1896,175.49 cm in 1996,+10.86 cm,+7%
Mongolia,159.10 cm in 1896,169.07 cm in 1996,+9.97 cm,+6%
Montenegro,166.46 cm in 1896,178.28 cm in 1996,+11.82 cm,+7%
Morocco,159.21 cm in 1896,170.40 cm in 1996,+11.19 cm,+7%
Mozambique,159.12 cm in 1896,164.80 cm in 1996,+5.68 cm,+4%
Myanmar,157.31 cm in 1896,164.67 cm in 1996,+7.36 cm,+5%
Namibia,164.20 cm in 1896,166.96 cm in 1996,+2.77 cm,+2%
Nauru,164.81 cm in 1896,167.83 cm in 1996,+3.02 cm,+2%
Nepal,157.55 cm in 1896,162.32 cm in 1996,+4.77 cm,+3%
Netherlands,169.43 cm in 1896,182.54 cm in 1996,+13.10 cm,+8%
New Zealand,167.48 cm in 1896,177.74 cm in 1996,+10.25 cm,+6%
Nicaragua,157.19 cm in 1896,166.71 cm in 1996,+9.52 cm,+6%
Niger,163.90 cm in 1896,167.68 cm in 1996,+3.78 cm,+2%
Nigeria,161.05 cm in 1896,165.91 cm in 1996,+4.86 cm,+3%
Niue,168.60 cm in 1896,175.83 cm in 1996,+7.23 cm,+4%
North America,167.85 cm in 1896,175.97 cm in 1996,+8.12 cm,+5%
North Korea,160.58 cm in 1896,171.99 cm in 1996,+11.42 cm,+7%
Norway,171.24 cm in 1896,179.75 cm in 1996,+8.51 cm,+5%
Oman,155.75 cm in 1896,169.16 cm in 1996,+13.40 cm,+9%
Pakistan,165.68 cm in 1896,166.95 cm in 1996,+1.27 cm,<1%
Palau,164.14 cm in 1896,167.69 cm in 1996,+3.55 cm,+2%
Palestine,160.86 cm in 1896,172.09 cm in 1996,+11.23 cm,+7%
Panama,156.98 cm in 1896,168.49 cm in 1996,+11.51 cm,+7%
Papua New Guinea,159.29 cm in 1896,163.57 cm in 1996,+4.28 cm,+3%
Paraguay,162.04 cm in 1896,172.83 cm in 1996,+10.79 cm,+7%
Peru,154.93 cm in 1896,165.23 cm in 1996,+10.30 cm,+7%
Philippines,154.73 cm in 1896,163.23 cm in 1996,+8.50 cm,+5%
Poland,163.66 cm in 1896,177.33 cm in 1996,+13.66 cm,+8%
Portugal,158.96 cm in 1896,172.93 cm in 1996,+13.97 cm,+9%
Puerto Rico,160.50 cm in 1896,172.08 cm in 1996,+11.59 cm,+7%
Qatar,159.22 cm in 1896,170.48 cm in 1996,+11.26 cm,+7%
Romania,163.82 cm in 1896,174.74 cm in 1996,+10.92 cm,+7%
Russia,166.97 cm in 1896,176.46 cm in 1996,+9.49 cm,+6%
Rwanda,159.95 cm in 1896,162.68 cm in 1996,+2.73 cm,+2%
Saint Kitts and Nevis,160.30 cm in 1896,169.62 cm in 1996,+9.32 cm,+6%
Saint Lucia,162.01 cm in 1896,171.95 cm in 1996,+9.94 cm,+6%
Saint Vincent and the Grenadines,161.77 cm in 1896,172.78 cm in 1996,+11.01 cm,+7%
Samoa,169.14 cm in 1896,174.38 cm in 1996,+5.24 cm,+3%
Sao Tome and Principe,162.19 cm in 1896,167.38 cm in 1996,+5.19 cm,+3%
Saudi Arabia,158.13 cm in 1896,167.67 cm in 1996,+9.54 cm,+6%
Senegal,166.67 cm in 1896,173.14 cm in 1996,+6.47 cm,+4%
Serbia,167.44 cm in 1896,180.57 cm in 1996,+13.12 cm,+8%
Seychelles,165.48 cm in 1896,174.22 cm in 1996,+8.74 cm,+5%
Sierra Leone,160.56 cm in 1896,164.41 cm in 1996,+3.85 cm,+2%
Singapore,162.86 cm in 1896,172.57 cm in 1996,+9.71 cm,+6%
Slovakia,168.34 cm in 1896,179.50 cm in 1996,+11.16 cm,+7%
Slovenia,167.38 cm in 1896,179.80 cm in 1996,+12.42 cm,+7%
Solomon Islands,160.85 cm in 1896,164.14 cm in 1996,+3.30 cm,+2%
Somalia,161.45 cm in 1896,166.60 cm in 1996,+5.15 cm,+3%
South Africa,165.26 cm in 1896,166.68 cm in 1996,+1.42 cm,<1%
South Asia,159.87 cm in 1896,165.24 cm in 1996,+5.37 cm,+3%
South Korea,159.75 cm in 1896,174.92 cm in 1996,+15.17 cm,+9%
Spain,162.29 cm in 1896,176.59 cm in 1996,+14.30 cm,+9%
Sri Lanka,156.92 cm in 1896,165.69 cm in 1996,+8.77 cm,+6%
Sub-Saharan Africa,162.42 cm in 1896,167.30 cm in 1996,+4.88 cm,+3%
Sudan,161.51 cm in 1896,166.63 cm in 1996,+5.13 cm,+3%
Suriname,161.72 cm in 1896,172.72 cm in 1996,+11.01 cm,+7%
Swaziland,163.22 cm in 1896,168.13 cm in 1996,+4.91 cm,+3%
Sweden,171.90 cm in 1896,179.74 cm in 1996,+7.84 cm,+5%
Switzerland,167.53 cm in 1896,178.42 cm in 1996,+10.89 cm,+7%
Syria,159.24 cm in 1896,170.43 cm in 1996,+11.19 cm,+7%
Taiwan,161.31 cm in 1896,174.52 cm in 1996,+13.21 cm,+8%
Tajikistan,161.39 cm in 1896,171.26 cm in 1996,+9.87 cm,+6%
Tanzania,160.79 cm in 1896,164.80 cm in 1996,+4.01 cm,+2%
Thailand,158.46 cm in 1896,169.16 cm in 1996,+10.71 cm,+7%
Timor,153.03 cm in 1896,159.79 cm in 1996,+6.76 cm,+4%
Togo,162.79 cm in 1896,168.33 cm in 1996,+5.54 cm,+3%
Tokelau,168.15 cm in 1896,175.26 cm in 1996,+7.11 cm,+4%
Tonga,170.41 cm in 1896,176.76 cm in 1996,+6.35 cm,+4%
Trinidad and Tobago,163.90 cm in 1896,173.74 cm in 1996,+9.84 cm,+6%
Tunisia,164.07 cm in 1896,173.95 cm in 1996,+9.88 cm,+6%
Turkey,160.32 cm in 1896,174.21 cm in 1996,+13.89 cm,+9%
Turkmenistan,161.70 cm in 1896,171.97 cm in 1996,+10.27 cm,+6%
Tuvalu,165.36 cm in 1896,169.64 cm in 1996,+4.28 cm,+3%
Uganda,162.18 cm in 1896,165.62 cm in 1996,+3.45 cm,+2%
Ukraine,167.70 cm in 1896,178.46 cm in 1996,+10.76 cm,+6%
United Arab Emirates,159.30 cm in 1896,170.46 cm in 1996,+11.15 cm,+7%
United Kingdom,166.87 cm in 1896,177.49 cm in 1996,+10.62 cm,+6%
United States,171.08 cm in 1896,177.13 cm in 1996,+6.05 cm,+4%
Uruguay,163.81 cm in 1896,173.43 cm in 1996,+9.62 cm,+6%
Uzbekistan,161.09 cm in 1896,169.38 cm in 1996,+8.30 cm,+5%
Vanuatu,163.59 cm in 1896,168.09 cm in 1996,+4.51 cm,+3%
Venezuela,159.96 cm in 1896,171.59 cm in 1996,+11.63 cm,+7%
Vietnam,155.30 cm in 1896,164.45 cm in 1996,+9.15 cm,+6%
World,162.48 cm in 1896,171.28 cm in 1996,+8.80 cm,+5%
Yemen,154.50 cm in 1896,159.89 cm in 1996,+5.38 cm,+3%
Zambia,162.21 cm in 1896,166.52 cm in 1996,+4.31 cm,+3%
Zimbabwe,164.78 cm in 1896,168.59 cm in 1996,+3.81 cm,+2%
