country,pastheight,presentheight,absolute change,percent change
Hungary,153.25 cm in 1896,163.66 cm in 1996,+10.41 cm,+7%
Iceland,158.55 cm in 1896,165.95 cm in 1996,+7.40 cm,+5%
India,147.97 cm in 1896,152.59 cm in 1996,+4.62 cm,+3%
Indonesia,144.70 cm in 1896,152.80 cm in 1996,+8.10 cm,+6%
Iran,148.54 cm in 1896,159.67 cm in 1996,+11.13 cm,+7%
Iraq,149.68 cm in 1896,158.67 cm in 1996,+8.99 cm,+6%
Ireland,153.95 cm in 1896,165.11 cm in 1996,+11.16 cm,+7%
Israel,152.00 cm in 1896,161.80 cm in 1996,+9.81 cm,+6%
Italy,153.50 cm in 1896,164.61 cm in 1996,+11.11 cm,+7%
Jamaica,152.26 cm in 1896,163.12 cm in 1996,+10.86 cm,+7%
Japan,142.29 cm in 1896,158.31 cm in 1996,+16.02 cm,+11%
Jordan,150.20 cm in 1896,158.83 cm in 1996,+8.62 cm,+6%
Kazakhstan,151.13 cm in 1896,159.58 cm in 1996,+8.44 cm,+6%
Kenya,155.90 cm in 1896,158.16 cm in 1996,+2.26 cm,+1%
Kiribati,151.74 cm in 1896,157.00 cm in 1996,+5.26 cm,+3%
Kuwait,150.26 cm in 1896,159.43 cm in 1996,+9.17 cm,+6%
Kyrgyzstan,150.18 cm in 1896,159.35 cm in 1996,+9.17 cm,+6%
Laos,144.69 cm in 1896,151.27 cm in 1996,+6.58 cm,+5%
Latin America and Caribbean,147.92 cm in 1896,158.51 cm in 1996,+10.60 cm,+7%
Latvia,155.51 cm in 1896,169.80 cm in 1996,+14.29 cm,+9%
Lebanon,149.61 cm in 1896,162.43 cm in 1996,+12.82 cm,+9%
Lesotho,153.06 cm in 1896,155.71 cm in 1996,+2.64 cm,+2%
Liberia,151.62 cm in 1896,155.66 cm in 1996,+4.04 cm,+3%
Libya,150.18 cm in 1896,162.08 cm in 1996,+11.91 cm,+8%
Lithuania,154.09 cm in 1896,166.62 cm in 1996,+12.53 cm,+8%
Luxembourg,154.83 cm in 1896,164.43 cm in 1996,+9.60 cm,+6%
